run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,M02_carryover_timeframe,True,wrong_arg_value,missing_tool_call,lookup,social_search,False,False,False,missing tool call lookup; extra tool call social_search
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T100653301084,v1,v1+p358c30c63555+t83dbdbca9ec3,base,M06_switch_tool,True,wrong_tool,missing_tool_call,lookup,social_search,False,False,False,missing tool call lookup; extra tool call social_search
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R01_user_tweets_routing,False,wrong_tool,missing_tool_call,timeline,social_search,False,False,False,missing tool call timeline; extra tool call social_search
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'tin tức AI'"
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R05_limit_arg,False,wrong_arg_value,missing_tool_call,timeline,social_search,False,False,False,missing tool call timeline; extra tool call social_search
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'tin tức AI'; topic: expected 'news', got None"
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,M01_clarify_then_fill,True,missing_info,missing_tool_call,timeline,social_search,False,False,False,missing tool call timeline; extra tool call social_search
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,M05_correction_limit,True,wrong_arg_value,missing_tool_call,timeline,social_search,False,False,False,missing tool call timeline; extra tool call social_search
v2_B_base_openrouter_20260729T101641989142,v2,v2+p7eac51ba7a5d+t83dbdbca9ec3,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T101954269937,v3,v3+pae7dea7d1696+t83dbdbca9ec3,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G01_wikipedia_entity,False,wrong_tool,,wikipedia_summary,wikipedia_summary,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G02_rss_limit,False,wrong_arg_value,,fetch_rss,fetch_rss,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G03_papers_search,False,wrong_tool,,papers,papers,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G04_policy_privacy,False,wrong_tool,,policy,policy,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G05_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G06_clarify_then_paper_text,True,missing_info,,paper_text,paper_text,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G07_wikipedia_language_carryover,True,wrong_arg_value,,wikipedia_summary,wikipedia_summary,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G08_switch_to_fetch_rss,True,wrong_tool,,fetch_rss,fetch_rss,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G09_confirm_before_send,True,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T104323478294,v3,v3+pae7dea7d1696+t83dbdbca9ec3,group,G10_no_tool_meta,True,unnecessary_tool,,no_tool,,True,True,True,
